Month,vrp,ogap,WTI,rdsp,sii
19901,35.9054,61.7781,0.083412322,2.063409695,1.0886
19902,32.9177,62.3426,-0.032808399,2.125185791,0.8594
19903,26.5978,62.6446,-0.077792854,2.135974109,1.3386
19904,26.2753,62.5104,-0.096125552,2.177162194,1.3014
19905,19.2201,62.6898,-0.012479653,2.522560994,0.9409
19906,13.0796,62.8923,-0.082417582,2.512176731,1.1575
19907,26.987,62.7933,0.104790419,2.535513547,1.1094
19908,51.0203,63.0241,0.480216802,2.458133152,0.826
19909,57.6982,63.0328,0.227023068,2.722111648,0.9494
199010,52.1602,62.6466,0.075499851,3.067036696,0.9367
199011,30.4216,61.8681,-0.102941176,3.412012538,0.9023
199012,50.2439,61.4345,-0.15620167,3.269999215,0.9707
19911,19.8734,61.2241,-0.075146628,3.120057063,0.9459
19912,24.7257,60.779,-0.188267935,2.986231362,0.3392
19913,14.9701,60.4377,-0.028320313,3.19727757,0.8075
19914,18.0895,60.5982,0.046733668,3.070824749,0.4003
19915,14.6129,61.2041,0.019203072,2.917459093,0.1923
19916,26.4061,61.6923,-0.048987282,2.506399138,0.2902
19917,12.701,61.8569,0.059930659,2.55431265,0.0948
19918,9.5733,61.8681,0.013551402,2.601935718,0.0232
19919,16.4127,62.3855,0.009220839,2.812633493,0.0869
199110,15.0544,62.3229,0.061215167,3.008200311,-0.0558
199111,24.8364,62.2427,-0.033146793,2.938078825,-0.0926
199112,22.9771,61.9705,-0.131789849,3.370294903,-0.1205
19921,17.0722,61.6471,-0.036410256,4.429088613,0.247
19922,18.221,62.0794,0.011708356,4.822206323,0.0049
19923,17.327,62.5955,-0.00473435,4.399191625,-0.1768
19924,13.3759,63.0726,0.069238901,3.769829988,-0.3675
19925,12.2742,63.2761,0.037073653,3.202100661,-0.4828
19926,10.3259,63.3102,0.067206864,3.373198927,-0.4473
19927,9.6272,63.8769,-0.027244305,2.609625719,-0.2973
19928,11.7631,63.5221,-0.02020202,2.61916684,-0.3827
19929,13.9343,63.7217,0.025304592,2.197525041,-0.0564
199210,14.4022,64.1556,-0.008683729,2.268492067,-0.1359
199211,11.2196,64.4144,-0.062240664,2.485012949,-0.0309
199212,10.2534,64.5161,-0.045722714,2.536837312,-0.1733
