yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12
192612,13.49 ,0.69000 ,1.24000 ,0.44148 ,0.03070 ,0.04680 ,0.05680 ,0.03540 ,0.05088 ,0.00280 ,0.00000 ,0.00780 ,0.00560 ,0.00046 ,NaN,0.02605 ,0.02032 ,1,1,1,1,1,1,1,1,1,1,1,1
192701,13.21 ,0.69670 ,1.22900 ,0.44371 ,0.03230 ,0.04660 ,0.05610 ,0.03510 ,0.05082 ,0.00250 ,-0.01130 ,0.00750 ,0.00560 ,0.00047 ,NaN,-0.00291 ,-0.00558 ,1,1,1,1,1,1,0,0,1,1,1,1
192702,13.84 ,0.70330 ,1.21800 ,0.42850 ,0.03290 ,0.04670 ,0.05590 ,0.03470 ,0.05167 ,0.00260 ,-0.00571 ,0.00880 ,0.00690 ,0.00029 ,NaN,0.04552 ,0.04057 ,1,1,1,1,1,1,1,1,1,1,1,1
192703,13.93 ,0.71000 ,1.20800 ,0.46977 ,0.03200 ,0.04620 ,0.05540 ,0.03310 ,0.04636 ,0.00300 ,-0.00575 ,0.02530 ,0.00830 ,0.00092 ,NaN,0.00732 ,0.00261 ,1,1,1,1,1,1,1,1,1,1,1,1
192704,14.17 ,0.71670 ,1.19700 ,0.45675 ,0.03390 ,0.04580 ,0.05480 ,0.03330 ,0.05051 ,0.00250 ,0.00000 ,-0.00050 ,0.00550 ,0.00060 ,NaN,0.01302 ,0.01091 ,1,1,1,1,1,1,1,1,1,1,1,1
192705,14.91 ,0.72330 ,1.18600 ,0.43478 ,0.03330 ,0.04570 ,0.05500 ,0.03270 ,0.05528 ,0.00300 ,0.00578 ,0.01090 ,-0.00110 ,0.00039 ,NaN,0.06235 ,0.05710 ,1,1,1,1,1,1,1,1,1,1,1,1
192706,14.77 ,0.73000 ,1.17500 ,0.45239 ,0.03070 ,0.04580 ,0.05550 ,0.03340 ,0.05882 ,0.00260 ,0.01149 ,-0.00690 ,0.00430 ,0.00082 ,NaN,-0.02037 ,-0.02571 ,1,1,1,1,1,1,0,1,1,1,1,1
192707,15.73 ,0.73670 ,1.16400 ,0.41455 ,0.02960 ,0.04600 ,0.05550 ,0.03330 ,0.05975 ,0.00300 ,-0.01705 ,0.00500 ,0.00030 ,0.00043 ,NaN,0.08445 ,0.08169 ,1,1,1,1,1,1,1,1,1,1,1,1
192708,16.43 ,0.74330 ,1.15300 ,0.39623 ,0.02700 ,0.04560 ,0.05480 ,0.03290 ,0.05452 ,0.00280 ,-0.00578 ,0.00760 ,0.00830 ,0.00128 ,NaN,0.03332 ,0.02862 ,1,1,1,1,1,1,1,1,1,1,1,1
192709,17.14 ,0.75000 ,1.14300 ,0.38059 ,0.02680 ,0.04540 ,0.05420 ,0.03300 ,0.09461 ,0.00210 ,0.00581 ,0.00180 ,0.01490 ,0.00112 ,NaN,0.05302 ,0.04910 ,1,1,1,1,1,1,1,1,1,1,1,1
